GRPRatingsDate,GRP
17-Jun-07,243.6
24-Jun-07,263.19
1-Jul-07,269.89
8-Jul-07,252.88
15-Jul-07,303.46
22-Jul-07,286.29
29-Jul-07,292.28
5-Aug-07,288.72
12-Aug-07,285.7
19-Aug-07,286.01
26-Aug-07,308.59
2-Sep-07,320.57
9-Sep-07,312.67
16-Sep-07,278.58
23-Sep-07,303.06
30-Sep-07,327.22
7-Oct-07,315.14
14-Oct-07,254.39
21-Oct-07,258.73
28-Oct-07,272.35
4-Nov-07,234.26
11-Nov-07,259.35
18-Nov-07,272.67
25-Nov-07,269.03
2-Dec-07,291.72
9-Dec-07,275.29
16-Dec-07,276.38
23-Dec-07,274.68
30-Dec-07,273.7
6-Jan-08,271.84
13-Jan-08,267.63
20-Jan-08,260.45
27-Jan-08,301.67
3-Feb-08,281.6
10-Feb-08,286.82
17-Feb-08,292.87
24-Feb-08,289.84
2-Mar-08,237.74
9-Mar-08,268.69
16-Mar-08,261.46
23-Mar-08,240.68
30-Mar-08,231.89
6-Apr-08,212.18
13-Apr-08,218.16
20-Apr-08,219.96
27-Apr-08,210.24
4-May-08,210.17
11-May-08,228.25
18-May-08,227.32
25-May-08,218.16
1-Jun-08,228.92
8-Jun-08,231.79
15-Jun-08,231.19
22-Jun-08,214.32
29-Jun-08,233.76
6-Jul-08,231.12
13-Jul-08,224.72
20-Jul-08,216.19
27-Jul-08,216.75
3-Aug-08,211.68
10-Aug-08,209.41
17-Aug-08,219.99
24-Aug-08,205.17
31-Aug-08,195.25
7-Sep-08,212.45
14-Sep-08,232.21
21-Sep-08,236.31
28-Sep-08,219.91
5-Oct-08,193.84
12-Oct-08,201.3
19-Oct-08,198.4
26-Oct-08,170.74
2-Nov-08,206.61
9-Nov-08,188.68
16-Nov-08,197.64
23-Nov-08,193.16
30-Nov-08,184.74
7-Dec-08,188.88
14-Dec-08,224.85
21-Dec-08,186.91
28-Dec-08,192.65
4-Jan-09,200.88
11-Jan-09,198.88
18-Jan-09,227.61
25-Jan-09,214.15
1-Feb-09,191.91
8-Feb-09,208.17
15-Feb-09,204.2
22-Feb-09,200.61
1-Mar-09,208.56
8-Mar-09,191.74
15-Mar-09,222.07
